Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"C1, C2, C3, C4, C5, C6",6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor
J1,1,BLK Decoder,PinHeader_2x08_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x08, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,RAM Decoder,PinHeader_2x08_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x08, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
J3,1,Disable/Enable Switch,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J4,1,UD4,DIP-18_W7.62mm,,,,tht,"Generic connector, double row, 02x09, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
J5,1,UE4,DIP-18_W7.62mm,,,,tht,"Generic connector, double row, 02x09, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
R1,1,10KΩ,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor
U1,1,74LS20,SOIC-14W_7.5x9mm_P1.27mm,,,,smt,Dual 4-input NAND
"U2, U3",2,74LS138,SOIC-16W_7.5x10.3mm_P1.27mm,,,,smt,"3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16"
U4,1,74HCT30,SOIC-14W_7.5x9mm_P1.27mm,,,,smt,8-input NAND
U5,1,74LS157,SOIC-16W_7.5x10.3mm_P1.27mm,,,,smt,Quad 2 to 1 line Multiplexer
U6,1,CY62128Exx-xxS,SOP-32_11.305x20.495mm_P1.27mm,,,,smt,"1-Mbit (128K x 8-bit) Static RAM, VCC = 4.5..5.5V, 45/55ns, SOIC-32 (SOP-32)"
